No,ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,image,gender
523,HRMN-0523,Smoke on Top,Loco,299300,50,EDP,"Wormwood, Mint, Basil, Raspberry","Incense, Lavender, Gold Bar, Rose, Saffron, Geranium, Birch","Tobacco, Sandalwood, Guaiac Wood, Vetiver, Oakmoss, Amber, Vanilla, Musk, Agarwood, Leather, Benzoin",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/8/17/ae8910a2-9ea8-4385-a087-4d2673f4b89a.png,Unisex
524,HRMN-0524,Hypnotic Spell,Loco,299300,50,EDP,"Coffee, White Hyacinth, Iris, Jasmine Sambac","Turkish Rose, Vanilla, Opoponax, Cashmeran","Honey, White Musk, Amber, Cedar",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/8/17/aa8ca7ee-700f-4650-8787-eedb4c9b50bc.png,Female
525,HRMN-0525,Oudamaz,Bohe,155000,35,XDP,"Oud, Rose, Leather",-,-,Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/8/30/94c486a9-2e02-4cb0-b311-94f1ee820532.jpg,Unisex
526,HRMN-0526,Sage,Bohe,155000,35,XDP,"Green Tea, Bergamot, Lemon","Ambroxan, Jasmine, Orange Blossom, Matcha, Lavender","Musk, White Choco, Moss, Cedar",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/12/27/fd5f3373-b3fd-4ec1-b940-3b3e900f1818.jpg,Unisex
527,HRMN-0527,Velvet Oud,Bohe,155000,35,XDP,"Oud, Rose, Vanilla, Violet, Musk, Geranium",-,-,Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/9/12/754597ee-3c4e-4f86-8a3d-5e547e794175.jpg,Unisex
528,HRMN-0528,Lykn,Bohe,145000,35,XDP,"Pepper , Lemon","Lavender , Vetiver , Geranium , Pink Pepper","Patchouli , Cedar , Labdanum , Ambroxan",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/9/12/9be3e6f4-e58b-48e4-84e7-3ad87dc79579.jpg,Male
529,HRMN-0529,Ares,Bohe,135000,35,XDP,"Mint , Green Apple , Lemon","Tonka Bean , Ambroxan , Geranium","Vanilla , Cedar , Vetiver",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/20/f7c19af3-2db0-471a-b5b2-cb405bd38ae3.jpg,Male
530,HRMN-0530,Egost,Bohe,135000,35,XDP,"Orange, Grapefruit","Pepper, Cedar","Patchouli, Vetiver",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/20/dd8491e8-4941-42ce-87f3-b4ad4385baff.jpg,Male
531,HRMN-0531,Midas,Bohe,165000,35,XDP,"Apple, Lavender, Bergamot, Sweet Orange","Geranium, Violet, Jasmine, Cocoa","Vanilla, Cardamom, Sandalwood, Pepper, Patchouli, Coffee",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/20/f7ab44c3-7af2-42bf-a02f-40ac9128a0f8.jpg,Male
532,HRMN-0532,Bohemi,Bohe,155000,35,XDP,"Blackcurrant, Chasis, Vanilla, Rose, Lychee, Freesia, Patchouli",-,-,Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/9/12/979c8f36-5112-4b9d-a3f2-fa65abed1d14.jpg,Female
533,HRMN-0533,Badboy for Life,Bohe,155000,35,XDP,"Grapefruit, Blood Mandarin, Mint","Tose, Cinnamon, Spicy","Leather, Woody, Amber, Patchouli",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/9/12/ab6614f0-7a76-4d9e-9cf2-d5c3230c7b09.jpg,Male
534,HRMN-0534,Savage,Bohe,155000,35,XDP,"Grapefruit, Mandarin Orange","Bay Leaf, Jasmine","Guaiac Wood, Oakmoss, Patchouli, Ambergis",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/9/12/2daf2863-320a-4467-b1ce-c708f1f3a698.jpg,Male
535,HRMN-0535,Ambitchous,Bohe,155000,35,XDP,"Almond, Bergamot, Coffee, Lemon","Tuberose, Jasmine, Orris, Vanilla","Tonka Bean, Amber, Cacao, Praline, Sandalwood",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/20/eda333f4-49a9-49e2-8d14-5b930923e76b.jpg,Female
536,HRMN-0536,Badassery,Bohe,145000,35,XDP,"Pink Pepper, Pear, Orange Blossom","Coffee, Jasmine, Almond, Licorice","Vanilla, Cedar, Patchouli",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/20/ee1a6be2-c347-49ed-920b-755dfdda490f.jpg,Female
537,HRMN-0537,Berly,Bohe,155000,35,XDP,"Orange, Geeen Notes","Tuberose, Jasmine, Honey","Orris, Vanilla, Sandalwood",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/20/72c92af9-2bc1-40f2-b5bc-79e366c8b29c.jpg,Female
538,HRMN-0538,Classy,Aoera,169000,50,EDP,"Ginger, Almond","Orris, Tonka Bean, Orcanox, Figolide","Sandalwood Cream, Vanilla",Night,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/a2059050908346769d164879da8a1241~.jpeg,Unisex
539,HRMN-0539,Fantasy,Aoera,149000,50,EDP,"Amber, Cedarwood","Caramel, Oakmoss","Vanilla, Tonka",Night,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/06b73247a4bc4d4c8f11a2f2f982ffcc~.jpeg,Unisex
540,HRMN-0540,Signature,Aoera,159000,50,EDP,"Nutmeg, Saffron, Lavender","Leather, Tabacco, Maderal, Oud","Patchouli, Moss, Musk, Driftwood",Night,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/d5d85adb3f364d26a11211452f1b3bbf~.jpeg,Male
541,HRMN-0541,Majestic,Aoera,159000,50,EDP,"Mandarin, Peach, Orange","Tuberose, Ylang-Ylang, Coconut, Tropicalone","Sandalwood, Vanilla, White Musk, Cedar",Day,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/9d6e0dd7b96e48b68f75e51c48444b55~.jpeg,Female
542,HRMN-0542,Pretty,Aoera,169000,50,EDP,"Lemon, Orange, Plum, Strawberry","Rasberry, Rose, White Flower","Ambery, Musk, Praline, Vanilla",Day,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/f022d25104514374ab92d6304e4f0f23~.jpeg,Female
543,HRMN-0543,Chapters of Romance,YN Parfumery,249000,60,EDP,"Coconut, Blackcurrant, Bergamot","Rose, Ylang-Ylang, Iris, Jasmine","Musk, Solar, Cedarwood",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/2/5/2a11d731-1f9b-4aa2-aadd-d2c73ed740ac.jpg,Female
544,HRMN-0544,On Cloud Nine,YN Parfumery,249000,60,EDP,"Lemon, Freesia, Rose, Blackcurrant, Pear","Jasmine, Anise, Sandalwood, Jasmine Sambac Absolute, Floral Accord","Vanilla, Musk, Lily Of The Valley, Dry Wood, Patchouli",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/21/f61a7e44-313a-4af8-9784-79e728893414.jpg,Female
545,HRMN-0545,The Morning After,YN Parfumery,229000,60,EDP,"Ylang, Lily Of The Valley, Bergamot","Jamine, Orange Blossom, Lys Flower","Vanilla, White Floral Accord, Cedarwood",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/4/ad6f2951-273d-435c-aa7b-82e18ac02a18.jpg,Female
546,HRMN-0546,Vintage Tobacco,YN Parfumery,229000,60,EDP,"Cardamom, Mandarin, Lemon, Bergamot","Mint, Grapefruit, Soft Wood","Dry Amber, Tonka Beans, Musk",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/4/954213a9-852e-4bce-b314-23c79a5243d9.jpg,Male
547,HRMN-0547,Garden of Spring,YN Parfumery,219000,60,EDP,"Apple, Freesia, Strawberry","Peony, Jasmine, Rose","White Musk, Vanilla, Sugar",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/4/f72392bd-b67c-4275-b856-9a6c521dc311.jpg,Unisex
548,HRMN-0548,Sunset Hour,YN Parfumery,219000,60,EDP,"Bergamot, Orange, Sugar","Vanilla, Licorice And Violet Blossoms","Sandalwood, Musk, Star Anise",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/5/ade28114-d886-4c60-a981-c33285e79f99.jpg,Unisex
549,HRMN-0549,Rose in September,YN Parfumery,219000,60,EDP,"Peach, Green Notes, Blackcurrant","May Rose, Rose, Turkish Rose, Iris","White Musk, Cedar, Pepper, Orris Root, Violet Leaf",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/4/1823c799-0cb7-42c3-9c39-e1b61504d8cb.jpg,Female
550,HRMN-0550,The Duchess,YN Parfumery,219000,60,EDP,Jasmine,Tuberose,Rangoon Creeper,Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/4/67c5f113-8704-4336-b171-50b9068cde9b.jpg,Female
551,HRMN-0551,Mr. Grey,YN Parfumery,219000,60,EDP,"Calabrian Bergamot, Pepper","Sichuan Pepper, Lavender, Pink Pepper, Patchouli",Cedar,Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/4/0f747338-f00f-4c38-adba-d02062619ee5.jpg,Male
552,HRMN-0552,Imperial Jasmine Tea,Nevernot,189000,30,EDP,"Jasmine, Osmanthus, Black Tea","Ylang Ylang, Petitgrain","Balsamic, Musk, Vanilla",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/31/debc30fa-7e6b-4a0f-984c-870449c0bffd.jpg,Unisex
553,HRMN-0553,3am in Senop,Nevernot,189000,30,EDP,"Cherry, Almond, Rum","Jasmine, Tuberose, Rose","Amber, Woods, Tonka, Gourmand",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/7/10/19dc70e9-0331-4178-81e5-80569e025fc9.jpg,Unisex
554,HRMN-0554,Grandma's Kitchen,Nevernot,169000,35,EDP,"Milk, Peony, Jasmine","Bourbon Vanilla, Cacao","Sandalwood, Musk",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/9/3/a37f9e0b-17ea-4561-9ad8-ea636430c05f.jpg,Female
555,HRMN-0555,Afternoon Sunset,Nevernot,169000,35,EDP,"Wisteria, Blackberry, Pear","Jasmine, Lychee","White Wood, Musk",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/9/3/320e0108-1f99-47d6-933b-7ab12aae1894.jpg,Female
556,HRMN-0556,Tripping Apple,Nevernot,169000,35,EDP,"Red Apple, Cassis","Iris, May Rose, Freesia","Sandalwood, Virginia Cedar, Vanilla, Patchouli",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/9/1/5786c9e5-47fd-4a58-bf74-377e9ce23383.jpg,Female
557,HRMN-0557,Kitchen in Pool,Nevernot,169000,35,EDP,"Lemon Zest, Mint, Pear, Bergamot","Wisteria, Geranium, Lavender","Amberwood, Tonka Bean",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/9/1/803bd1c7-540c-474f-afbc-74a4d685615f.jpg,Unisex
558,HRMN-0558,Date of Birth,Nevernot,169000,35,EDP,"Violet, Vanilla, Rose","Freesia, Pear Flowers","Powder, White Wood",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/9/1/2048fc0d-eef3-4b75-94a7-0f49b21dbf90.jpg,Female
559,HRMN-0559,Never Been Drunk,Nevernot,169000,35,EDP,"Grape, Cranberry, Cinnamon","Nutmeg, Lemongrass, Plum","Sandalwood, Vanilla",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/9/1/2361fa48-0ed9-433e-9cb1-c974217ec948.jpg,Unisex
560,HRMN-0560,Cabin 119,Nevernot,169000,35,EDP,"Lavender, Citrus",Neroli,Cedarwood & Patchouli,Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/5/24/68b2ed80-a688-4c04-88bf-8c0349648bda.jpg,Unisex
561,HRMN-0561,Petite Avenue,Nevernot,169000,35,EDP,"Earl Grey Tea, Mandarin Orange","Freesia, Rose, Jasmine","Iris, Musk, Sandalwood",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/5/24/6dcb0d9d-db76-4867-9677-c2cac20db5a1.jpg,Unisex
562,HRMN-0562,Hello Prune,Nevernot,169000,35,EDP,"Magnolia, Bergamot","Peach, Jasmine","Amber, Sandalwood, Vanilla",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/5/24/8fea1adb-52a9-4440-8dd8-51e28b8b914a.jpg,Unisex
563,HRMN-0563,RSVP,Nevernot,169000,35,EDP,"Raspberry, Cherry, Peach","Marshmellow, Gardenia, Orchid","Musk, Oak, Ylang-Ylang",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/18/74b10900-00aa-49b3-a613-e8e0d66ba621.jpg,Female
564,HRMN-0564,Gentle Cudle,Verites,210000,50,EDP,Aldehydic,"Lily Of The Valley, Jasmine, Rose, Violet","Musk, Ambery, Leather",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/11/20/b4660bd5-8d4a-4a6f-bd5d-a4cf06ce9afb.jpg,Female
565,HRMN-0565,In a Penthouse,Verites,190000,50,EDP,"Honeysuckle, Lemon, Coconut Milk, Pear Blossom","Tuberose, Sambac Jasmine, Ambrette, Gardenia","Patchoulli, Sandalwood, Musks, Bourbon Vanilla",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/11/20/e8c17e0c-8157-4a81-942b-040c5a332889.jpg,Unisex
566,HRMN-0566,Rose Papier,Verites,210000,50,EDP,"Lemon, Pink Peppercorn","Rose, Orange Flower, Magnolia, Lily Of The Valley","Musk, Incense",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/11/11/fa3a7412-eacf-40c6-8651-2f32f48f1a6c.jpg,Unisex
567,HRMN-0567,Orange Haze,Verites,200000,50,EDP,"Mandarin, Guava, Blackcurrant","Jasmine, Tuberose, Orange Flower","Cedarwood, Vanilla, Musk",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/11/11/16e47f4e-eb28-46a9-8e99-398f4c2fd6e7.jpg,Unisex
568,HRMN-0568,On a Date,Verites,200000,50,EDP,"Strawberry, Blackcurrent, Lychee, Mint","Cinnamon, Orange Blossom, Rose","Edible Notes, Dry Woods, Smoky Notes",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/11/10/6890b91b-3cce-4606-bf06-ce2b67cebc34.jpg,Unisex
569,HRMN-0569,Ginz Cha,Verites,230000,50,XDP,"Herbaceous, Sweet, Tea, Bergamot","Orange Blossom, Jasmine, Ambery","Chocolate, Cedarwood, Moss",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/8/c7e5650f-aec6-4f27-a0e7-807ca0a48fbd.jpg,Unisex
570,HRMN-0570,Amalfi Coast,Verites,250000,50,XDP,"Bergamot, Orange, Lemon, Ozonic, Grapefruit","Jasmine, Muguet, Lavender, Geranium, Blackcurrant","Musk, Sandalwood, Amber",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/8/3388c7ac-6aeb-4200-927a-7b6f9df55665.jpg,Unisex
571,HRMN-0571,Voeu Provence,Verites,250000,50,XDP,"Mandarin, Pear, Blackcurrant, Pink Pepper","Jasmine, Violet, Tuberose, Ylang-Ylang, Watery","Sandalwood, Caramel, Powdery, Amberwood, Musks",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/8/9b24912e-6e9a-480a-b618-6aa823ea5fa6.jpg,Unisex
572,HRMN-0572,Caspian Ebony,Verites,240000,50,XDP,"Citrus, Bergamot, Cardamom, Clove","Floral, Peach, Peru Balsam, Olibanum","Patchouli, Cedarwood, Amber, Oud Wood",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/8/c33876cb-5f05-41f1-bc5b-0596cbf449d2.jpg,Unisex
573,HRMN-0573,Capri Escape,Verites,230000,50,XDP,"Aldehydes, Bergamot","Jasmine, White Flower Accords","White Musk, Sandalwood",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/8/a7799068-1754-4cc4-832b-2a3fc5fc0d7c.jpg,Unisex
574,HRMN-0574,Santorini Sunset,Verites,230000,50,XDP,"Mandarin, Mint, Orange","Rosemary, Neroli","Cashmeran, Sap, Cedarwood",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/8/90b3bf3c-aadd-4972-94f0-50b98306d3a6.jpg,Unisex
575,HRMN-0575,Zen Garden,Verites,220000,50,EDP,Neroli,"Rose, Honeysuckle","Magnolia, Jasmine",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/11/9/939493c0-e59e-45b5-a8d8-d57015c2d772.jpg,Female
576,HRMN-0576,Soul Signature,Verites,220000,50,EDP,"Bergamot, Tangerine, Pear Accord","Neroli, Neroli Bud, Orange Blossom, Sambac Jasmine","Amber Accord, Benzoin, Bourbon Vanilla, White Musk Accord",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/11/9/fdd471d3-4b11-444b-a429-e30c5616b711.jpg,Unisex
577,HRMN-0577,De Club,Verites,215200,50,EDP,"Lavandin, Clary Sage",Virginia Cedarwood,Vetiver,Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/11/9/f37f0123-0279-4bbd-92d8-d7caf0a506e0.jpg,Male
578,HRMN-0578,Blooming Amoure,Verites,240000,50,EDP,"Ginger, Carnation, Green Leaves","Tuberose, Jasmine","Musk, Sandalwood",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/11/9/92d5c76a-a7a2-4a33-b1d2-e6ae988e5761.jpg,Female
579,HRMN-0579,Her Summer,Verites,220000,50,EDP,"Green Pear, Green Grape, Strawberry, Blackcurrant, Pink Peppercorn","Honeysuckle, Peony, Rose, Lily Of The Valley","Musk, Cedarwood",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/11/9/56e47e91-4e99-41d5-b838-ff4d56c6f210.jpg,Female
580,HRMN-0580,Starstruck,Verites,220000,50,EDP,"Lychee, Bergamot","Rose, Magnolia","Virginia Cedar, Musk",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/11/9/865b70f7-6be4-4849-8014-10c3d4e47c67.jpg,Female
581,HRMN-0581,Shine All Night,Verites,190000,50,EDP,"Floral, Edible, Toffee","Floral, Woody","Amber, Musk, Sweet Accents",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/8/9/e1f6317b-6fc5-43f6-bbba-2a8852916e3b.png,Female
582,HRMN-0582,Siren,Verites,190000,50,EDP,"Pear, Red Fruit, Bergamot, Pink Pepper","Jasmine, Orris, Magnolia, Red Rose, Orange Blossom","Amber, Caramel, Vetiver, Vanilla",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/23/ced37232-363e-424c-b237-faf980865521.jpg,Female
583,HRMN-0583,Secretly Sexy,Verites,220000,50,EDP,"Apple, Orange, Red Berries","Rose, Jasmine, Lily","Vanilla, Cedarwood, Sandalwood, Musky",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/11/9/14044547-4cdd-4e7e-85c4-43d4013144a3.jpg,Female
584,HRMN-0584,Joie De Vivre,Verites,200000,50,EDP,"Strawberry, Pineapple, Mandarin","Rose, Jasmine","White Musk, Amber, Patchouli",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/23/42ccb063-8584-49da-849b-585f57cd99cd.jpg,Female
585,HRMN-0585,After The Rain,Verites,240000,50,EDP,"Almond, Chocolate, Black Currant","Cedarwood, Tuberose, Sambac Jasmine","Amber, Sandalwood",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/23/5a0a9fc0-8eab-46d9-84c5-b1605573e6bd.jpg,Female
586,HRMN-0586,Myriad Synastry,ORSAR,725000,80,EDP,"Blackberry, Grapefruit, Rose, Bergamot, Mandarin","Rose Absolute, Jasmine, Lily Of The Valley, Ylang Ylang","Musk, Amber, Vanilla, Rosewood",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/21/20975e80-c567-44b3-b4cb-1cda3f365b72.jpg,Female
587,HRMN-0587,Songbird,ORSAR,725000,80,EDP,"Fig Leaf, Neroli, Orange Blossom, Hyacinth, Petitgrain","Pink Pepper, Grapefruit, Rose, Gardenia, Cardamom","Cedarwood, Patchouli, Vetiver, White Amber",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/21/078366e7-6375-425e-b09d-233d6aecf05e.jpg,Female
588,HRMN-0588,Transcendence,ORSAR,725000,80,EDP,"Freesia, Magnolia, Neroli, Orange Blossom, Pear, Sweet Pea","Osmanthus, Violet, Iris, Honeysuckle, Marshmallow, Cedarwood","Sandalwood, Musk, Vanilla, Benzoin",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/21/70963e60-2f10-40ec-8c66-b61893265f6f.jpg,Female
589,HRMN-0589,Conny,SAKA,129900,30,EDP,"Coconut, Blackcurrant, Bergamot","Vanilla, Licorice And Violet Blossoms","Powdery, Tropical, Lactonic",Day,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/dca93013621242fbb1dc63c5c75c3853~.jpeg,Female
590,HRMN-0590,Teaphoria,SAKA,239900,50,XDP,"Bergamot, Mirabelle, Plum, Freesia","Orange Blossom, Jasmine Sambac, Darjeeling Tea, Osmanthus","Musk, Amber, Sandalwood, Cedarwood",Versatile,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/1467d1d84f2349878644b7555bd29ca8~.jpeg,Unisex
591,HRMN-0591,After Bath,SAKA,239900,50,XDP,"Neroli, Dihydromyrcenol, Verbena, Aldehydic","Rose, Jasmine, Orange Flower","Milk, Sandalwood, Ambroxan, Musk",Versatile,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/09a49b35776446f5bb8484b8fc811cb2~.jpeg,Unisex
592,HRMN-0592,Emily,SAKA,229900,50,XDP,"White Floral, Patchouli, Woody","Sweet, Powdery","Warm Spicy, Vanilla",Night,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/fad7d40f233b42298eacff1a8f5b0f97~.jpeg,Female
593,HRMN-0593,Harrod's,SAKA,229900,50,XDP,"Black Currant, White Peach, Coconut, Calabrian Bergamot","Violet, Egyptian Jasmine, Bulgarian Rose","Vanilla, White Musk",Versatile,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/c90643e4cc5d45c1b6bcf0fefb6a7f23~.jpeg,Unisex
594,HRMN-0594,Nashville,SAKA,129900,30,XDP,"Tangerine, Strawberry, Passionfruit, Pineapple, Grapefruit","Jasmine, Vanilla Orchid, Red Berries, Peony, Lily Valley","Musk, Woody, Oakmoss",Day,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/21b48fce65b14588b31ea677567263bb~.jpeg,Female
595,HRMN-0595,Montpellier,SAKA,129900,30,XDP,"Citrus, Peony, Mandarin Orange","Rose, Osmanthus","Patchouli, Sandalwood, Pink Pepper",Versatile,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/39b26be51e7c44eba12ab3c54c75dc02~.jpeg,Female
596,HRMN-0596,Florance,SAKA,129900,30,XDP,"Mandarin Orange, Blackcurrant, Bergamout, Grapefruit","Jasmine Sambac, Magnolia, Osmanthus, Peony, Green Notes","Vanilla, White Musk, Lily",Versatile,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/4e35f119e5df4feca552e68746ef4e6d~.jpeg,Female
597,HRMN-0597,Te Anue,SAKA,129900,30,XDP,"Pink Pepper, Orange Blossom, Pear","Coffee, Jasmine","Vanilla, Patchouli, Cedar",Night,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/7405abf307934b889cef4ec10f398d10~.jpeg,Unisex
598,HRMN-0598,Olgaline,SAKA,229900,50,XDP,"Lemon, Water Notes","Rose, Sugar","Vanilla, Sugar, White Musk, Cedar",Versatile,https://images.tokopedia.net/img/cache/900/aphluv/1997/1/1/7e82f1e45d514292a65974391473a1cb~.jpeg,Female
599,HRMN-0599,Gori,Fabron,215000,50,XDP,"Incense, Spices, Labdanum","Woody Notes, Patchouli Leaf","Amber, Guaiac Wood, White Musk, Vanilla",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/2/11/cfaeeee1-50ac-4e3a-9687-80c212fdb1ea.jpg,Unisex
600,HRMN-0600,Numa,Fabron,215000,50,XDP,"Orange, Mandarin, Grapefruit","Mango, Nectarine, Blackcurant","Peach, Musk",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/2/2d9ba1b0-584d-4848-b5e0-9188345cdbcd.png,Unisex
601,HRMN-0601,Pleasure of Jo,Fabron,190000,50,EDP,"Bergamot, Fruity Accord, Rose, Pepper, Cloves","Patchouli, Sandalwood, Iris, Milk, Heliotrope, Cedarwood","Praline, Musk, Vanilla, Tonka Bean, Benzoin",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/6/14/47063290-d342-48f0-bdbf-ab389ad0881e.png,Unisex
602,HRMN-0602,Bregas,Fabron,215000,50,EDP,"Black Tea, Lavender, Bergamot, Lemon","Honey, Cinnamon, Cashmeran, Jasmine Sambac","Tobacco Leaf, Vanilla, Tonka Bean",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/8/18/110e339f-70e2-4da2-a43e-6a9852ce1d53.png,Unisex
603,HRMN-0603,Bizael,Fabron,190000,50,EDP,"Bergamot, Lavender, Cardamom","Dry Wood, Leathery Accord","Cedarwood, Amber, Patchouli",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/3/10/0fd935a3-01b5-424b-bddf-3fc589454d8b.jpg,Male
604,HRMN-0604,Johan Malik,Fabron,190000,50,EDP,"Tobacco Leaf, Spicy Notes","Vanilla, Cacao, Tonka Bean","Dried Fruits, Woody Notes",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/5/72d3c16a-4e4e-4386-8190-48991bcbc588.png,Male
605,HRMN-0605,Lost in the Italian Sea,Scents of Pluto,259000,50,EDP,"Italian Bergamot, Aldehydes","Jasmine, Orange Blossom","Sandalwood, White Musk",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/29/6a444ef5-a313-4b54-a85a-b5a293b8f5a8.jpg,Female
606,HRMN-0606,Not That Kind of Cherry,Scents of Pluto,379000,50,EDP,"Frozen Cherry, Saffron, Mystical Incense","Juicy Sour Cherry, Cinnamon, Orris, Crimson Orris","Cherry Brandy, Benzoin, Cistus, Liquorous Woods",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/29/f23c8612-12e1-44e6-862b-77e1f65f31cf.jpg,Unisex
607,HRMN-0607,Hugged in Cashmere,Scents of Pluto,289000,50,EDP,"Bergamot, Cistus, Pepper","Saffron, Violet, Black Sesame","Musk, Sandalwood, Cashmere Wood",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/30/259a0185-0b7e-4586-a7f2-6e6b0d29604c.jpg,Unisex
608,HRMN-0608,An Empty Room,Scents of Pluto,289000,50,EDP,"Lemon, Grapefruit, Bergamot","Floral, Metalic","Amber, Mineral, Oak Moss, Cedarwood, Musk",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/30/332f1851-8d02-49b9-9235-4a66fe9fad64.jpg,Unisex
609,HRMN-0609,New Kind of Jungle,Scents of Pluto,379000,50,EDP,"Lemon, Fresh Wet Herbs, Nenuphar","Watery Yacinth, Lush Jungle Accord, Honeysuckle, Blue Tuberose","Crystal Musks, Moss, Modern Woods",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/30/ea2ddc07-7cb3-4249-a364-9e0fb2847222.jpg,Unisex
